date,score,suggestion,ndx,spx,drawdown,vix,rsi
2026-06-15,55,99,69,30,-3.34,17.68,51.42
2026-06-16,55,99,69,30,-2.26,16.41,49.96
2026-06-17,68,112,78,34,-3.38,18.29,45.35
2026-06-18,60,114,80,34,-0.83,16.4,50.52
2026-06-19,60,115,80,34,-0.83,16.78,50.52
2026-06-20,55,110,77,33,-0.83,16.4,50.52
2026-06-21,55,106,74,32,-0.83,16.4,50.52
2026-06-22,63,109,76,33,-1.02,17.28,48.79
2026-06-23,63,111,78,33,-1.02,17.28,48.79
2026-06-24,60,113,79,34,-4.76,19.66,41.25
2026-06-25,68,122,85,37,-4.29,19.01,43.16
2026-06-26,60,121,85,36,-4.63,18.86,52.14
2026-06-29,60,120,84,36,-3.0,17.62,52.37
2026-06-30,60,119,83,36,-1.3,16.6,58.31
2026-07-01,60,118,83,35,-2.54,16.46,59.92
2026-07-02,60,118,83,35,-4.8,17.13,48.07
2026-07-03,55,112,78,34,-4.34,15.81,49.11
2026-07-06,55,107,75,32,-2.98,15.7,50.83
2026-07-07,65,117,82,35,-5.2,16.15,38.54
2026-07-08,60,117,82,35,-5.0,16.94,42.76
2026-07-09,55,111,78,33,-3.03,15.99,50.51
2026-07-10,55,107,75,32,-2.68,15.34,44.74
2026-07-13,55,104,73,31,-3.82,16.37,42.43
2026-07-14,55,102,71,31,-3.67,16.72,51.84
2026-07-15,55,100,70,30,-3.22,16.17,53.09
2026-07-16,60,105,74,32,-5.06,16.3,46.89
2026-07-17,60,108,76,32,-7.07,19.07,44.43
2026-07-20,60,110,77,33,-5.98,17.89,40.71
2026-07-21,65,119,83,36,-5.5,17.65,36.3
2026-07-22,60,118,83,35,-5.2,17.24,41.83
2026-07-23,68,125,88,38,-6.71,18.78,42.0
